year,prov_territory,january,february,march,april,may,june,july,august,september,october,november,december,total
2022,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Total - Ports of Entry,3410,3285,3925,4240,5385,5055,5695,5380,6380,6620,6410,7470,63260
2023,Newfoundland and Labrador,0,0,0,0,NA,0,0,0,0,0,0,0,NA
2023,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nova Scotia,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,30
2023,New Brunswick,0,10,NA,NA,NA,NA,0,10,NA,NA,5,NA,45
2023,Quebec,5895,5520,5350,2110,2380,3230,3195,2955,4435,4210,3485,3545,46320
2023,Ontario,875,825,1110,1605,1850,2135,2075,1460,2540,2590,2490,2470,22015
2023,Manitoba,20,10,25,10,NA,NA,10,NA,NA,10,NA,10,105
2023,Saskatchewan,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,10
2023,Alberta,20,45,95,75,65,60,65,75,150,150,85,115,1000
2023,British Columbia,70,70,60,80,105,110,70,110,135,155,175,180,1320
2023,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Total - Ports of Entry,6880,6485,6640,3880,4405,5550,5420,4615,7265,7125,6250,6330,70845
