year,prov_territory,january,february,march,april,may,june,july,august,september,october,november,december,total
2023,Newfoundland and Labrador,0,0,0,0,NA,0,0,0,0,0,0,0,NA
2023,Prince Edward Island,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nova Scotia,0,NA,0,0,0,5,NA,NA,NA,NA,NA,NA,20
2023,New Brunswick,0,0,0,0,0,0,0,0,0,0,NA,0,NA
2023,Quebec,930,980,1010,1495,1765,2670,2545,2260,3415,3385,2780,2515,25760
2023,Ontario,400,460,520,715,900,1575,1410,915,1840,2000,1875,1730,14345
2023,Manitoba,0,0,0,NA,0,0,0,0,0,0,0,NA,5
2023,Saskatchewan,0,0,0,0,NA,0,0,0,0,0,0,0,NA
2023,Alberta,10,20,35,30,20,40,25,50,90,95,50,80,540
2023,British Columbia,25,25,30,40,65,60,35,70,85,95,100,55,685
2023,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Total - Air Ports of Entry,1370,1490,1595,2285,2750,4350,4010,3300,5435,5575,4810,4385,41355
