year,prov_territory,january,february,march,april,may,june,july,august,september,october,november,december,total
2022,New Brunswick,NA,NA,5,NA,0,5,NA,NA,NA,10,NA,15,55
2022,Quebec,3185,3170,3660,3805,4855,4640,5325,5085,5965,6040,5910,7170,58805
2022,Ontario,1690,1745,1895,1875,1995,2150,2030,2555,2465,2430,2755,2925,26500
2022,Manitoba,30,5,15,25,15,25,25,35,30,35,35,30,300
2022,Saskatchewan,NA,NA,10,10,NA,0,5,NA,10,NA,NA,10,60
2022,Alberta,135,110,165,130,145,155,170,200,145,165,215,250,1995
2022,British Columbia,195,245,320,240,265,320,310,400,315,310,445,525,3895
2022,Yukon,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Northwest Territories,0,0,0,0,0,0,0,NA,0,NA,0,0,NA
2022,Nunavut,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Outside Canada,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2022,Total - CBSA & IRCC,5245,5295,6080,6085,7290,7310,7875,8290,8945,9015,9370,10940,91725
2023,Newfoundland and Labrador,NA,NA,0,NA,5,5,NA,0,NA,10,10,5,45
2023,Prince Edward Island,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,15
2023,Nova Scotia,NA,20,NA,5,10,15,25,15,15,20,20,10,165
2023,New Brunswick,NA,10,NA,NA,15,10,5,15,20,25,25,20,150
2023,Quebec,6950,6440,6245,2970,3610,4455,4910,4925,6490,6740,5845,5920,65500
2023,Ontario,2985,2615,3050,3265,4350,4965,5515,6005,6840,7775,8140,7710,63220
2023,Manitoba,35,15,40,20,25,45,65,55,65,130,145,120,760
2023,Saskatchewan,10,NA,5,NA,10,15,5,20,20,30,25,30,170
2023,Alberta,195,220,245,235,270,420,495,695,755,880,880,755,6045
2023,British Columbia,555,470,500,355,505,595,555,710,760,820,885,985,7690
2023,Yukon,0,0,0,0,0,0,0,0,NA,NA,0,0,NA
2023,Northwest Territories,0,0,0,0,0,0,0,0,NA,0,0,0,NA
2023,Nunavut,0,0,0,0,NA,0,0,NA,NA,0,0,0,NA
2023,Outside Canada,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5
2023,Total - CBSA & IRCC,10735,9795,10095,6860,8805,10525,11585,12440,14970,16430,15980,15560,143770
