year,country,merit,outcome,count
2017,Benin,TRUE,merit_allow_referback,NA
2017,Benin,TRUE,merit_allow_substitute,NA
2017,Benin,NA,total_finalized,NA
2017,Benin,NA,pending,NA
2017,Bolivia,NA,filed,NA
2017,Bolivia,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Bolivia,FALSE,nonmerit_dismiss_imperfect,NA
2017,Bolivia,FALSE,nonmerit_dismiss_other,NA
2017,Bolivia,TRUE,merit_dismiss_confirm,NA
2017,Bolivia,TRUE,merit_allow_referback,NA
2017,Bolivia,TRUE,merit_allow_substitute,NA
2017,Bolivia,NA,total_finalized,NA
2017,Bolivia,NA,pending,NA
2017,Bosnia and Herzegovina,NA,filed,NA
2017,Bosnia and Herzegovina,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Bosnia and Herzegovina,FALSE,nonmerit_dismiss_imperfect,NA
2017,Bosnia and Herzegovina,FALSE,nonmerit_dismiss_other,NA
2017,Bosnia and Herzegovina,TRUE,merit_dismiss_confirm,NA
2017,Bosnia and Herzegovina,TRUE,merit_allow_referback,NA
2017,Bosnia and Herzegovina,TRUE,merit_allow_substitute,NA
2017,Bosnia and Herzegovina,NA,total_finalized,NA
2017,Bosnia and Herzegovina,NA,pending,NA
2017,Botswana,NA,filed,NA
2017,Botswana,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Botswana,FALSE,nonmerit_dismiss_imperfect,NA
2017,Botswana,FALSE,nonmerit_dismiss_other,NA
2017,Botswana,TRUE,merit_dismiss_confirm,NA
2017,Botswana,TRUE,merit_allow_referback,NA
2017,Botswana,TRUE,merit_allow_substitute,NA
2017,Botswana,NA,total_finalized,NA
2017,Botswana,NA,pending,NA
2017,Brazil,NA,filed,23
2017,Brazil,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Brazil,FALSE,nonmerit_dismiss_imperfect,NA
2017,Brazil,FALSE,nonmerit_dismiss_other,NA
2017,Brazil,TRUE,merit_dismiss_confirm,NA
2017,Brazil,TRUE,merit_allow_referback,NA
2017,Brazil,TRUE,merit_allow_substitute,NA
2017,Brazil,NA,total_finalized,NA
2017,Brazil,NA,pending,21
2017,Bulgaria,NA,filed,NA
2017,Bulgaria,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Bulgaria,FALSE,nonmerit_dismiss_imperfect,NA
2017,Bulgaria,FALSE,nonmerit_dismiss_other,NA
2017,Bulgaria,TRUE,merit_dismiss_confirm,NA
2017,Bulgaria,TRUE,merit_allow_referback,NA
2017,Bulgaria,TRUE,merit_allow_substitute,NA
2017,Bulgaria,NA,total_finalized,NA
2017,Bulgaria,NA,pending,NA
2017,Burkina Faso,NA,filed,NA
2017,Burkina Faso,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Burkina Faso,FALSE,nonmerit_dismiss_imperfect,NA
2017,Burkina Faso,FALSE,nonmerit_dismiss_other,NA
2017,Burkina Faso,TRUE,merit_dismiss_confirm,NA
2017,Burkina Faso,TRUE,merit_allow_referback,NA
2017,Burkina Faso,TRUE,merit_allow_substitute,NA
2017,Burkina Faso,NA,total_finalized,NA
2017,Burkina Faso,NA,pending,NA
2017,Burundi,NA,filed,20
2017,Burundi,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Burundi,FALSE,nonmerit_dismiss_imperfect,NA
2017,Burundi,FALSE,nonmerit_dismiss_other,NA
2017,Burundi,TRUE,merit_dismiss_confirm,NA
2017,Burundi,TRUE,merit_allow_referback,NA
2017,Burundi,TRUE,merit_allow_substitute,NA
2017,Burundi,NA,total_finalized,NA
2017,Burundi,NA,pending,NA
2017,Cambodia,NA,filed,NA
2017,Cambodia,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Cambodia,FALSE,nonmerit_dismiss_imperfect,NA
2017,Cambodia,FALSE,nonmerit_dismiss_other,NA
2017,Cambodia,TRUE,merit_dismiss_confirm,NA
2017,Cambodia,TRUE,merit_allow_referback,NA
2017,Cambodia,TRUE,merit_allow_substitute,NA
2017,Cambodia,NA,total_finalized,NA
2017,Cambodia,NA,pending,NA
2017,Cameroon,NA,filed,39
2017,Cameroon,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Cameroon,FALSE,nonmerit_dismiss_imperfect,NA
2017,Cameroon,FALSE,nonmerit_dismiss_other,NA
2017,Cameroon,TRUE,merit_dismiss_confirm,NA
2017,Cameroon,TRUE,merit_allow_referback,NA
2017,Cameroon,TRUE,merit_allow_substitute,NA
2017,Cameroon,NA,total_finalized,NA
2017,Cameroon,NA,pending,55
2017,Central African Republic,NA,filed,NA
2017,Central African Republic,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Central African Republic,FALSE,nonmerit_dismiss_imperfect,NA
2017,Central African Republic,FALSE,nonmerit_dismiss_other,NA
2017,Central African Republic,TRUE,merit_dismiss_confirm,NA
2017,Central African Republic,TRUE,merit_allow_referback,NA
2017,Central African Republic,TRUE,merit_allow_substitute,NA
2017,Central African Republic,NA,total_finalized,NA
2017,Central African Republic,NA,pending,NA
2017,Chad,NA,filed,41
2017,Chad,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Chad,FALSE,nonmerit_dismiss_imperfect,NA
2017,Chad,FALSE,nonmerit_dismiss_other,NA
2017,Chad,TRUE,merit_dismiss_confirm,NA
2017,Chad,TRUE,merit_allow_referback,NA
2017,Chad,TRUE,merit_allow_substitute,NA
2017,Chad,NA,total_finalized,NA
2017,Chad,NA,pending,46
2017,Chile,NA,filed,NA
2017,Chile,FALSE,nonmerit_dismiss_jurisdiction,NA
2017,Chile,FALSE,nonmerit_dismiss_imperfect,NA
2017,Chile,FALSE,nonmerit_dismiss_other,NA
